Date,Time,Error
10-JUN-22,10:49 :00,User frame 1(G:1)
10-JUN-22,10:47 :42,Tool frame 1(G:1)
10-JUN-22,10:46 :58,Tool frame 2(G:1)
10-JUN-22,10:45 :24,User frame 0(G:1)
10-JUN-22,10:45 :24,Tool frame 1(G:1)
10-JUN-22,08:46 :24,Tool frame 2(G:1)
10-JUN-22,08:45 :16,User frame 1(G:1)
10-JUN-22,08:44 :58,User frame 0(G:1)
10-JUN-22,08:44 :58,Tool frame 1(G:1)
10-JUN-22,08:39 :44,Tool frame 2(G:1)
10-JUN-22,08:38 :36,User frame 1(G:1)
10-JUN-22,08:38 :20,User frame 0(G:1)
10-JUN-22,08:38 :20,Tool frame 1(G:1)
10-JUN-22,08:36 :06,"DCS SSO Fence Open 1,1"
10-JUN-22,08:35 :58,"DCS SSO Fence Open 1,1"
10-JUN-22,08:35 :42,"DCS SSO Fence Open 1,1"
10-JUN-22,08:35 :14,"DCS SSO Fence Open 1,1"
10-JUN-22,08:35 :10,"DCS SSO Fence Open 1,1"
10-JUN-22,08:34 :48,"DCS SSO Fence Open 1,1"
10-JUN-22,08:34 :18,"DCS SSO Fence Open 1,1"
10-JUN-22,08:34 :10,"DCS SSO Fence Open 1,1"
10-JUN-22,08:33 :42,"DCS SSO Fence Open 1,1"
10-JUN-22,08:33 :38,"DCS SSO Fence Open 1,1"
10-JUN-22,08:33 :30,"DCS SSO Fence Open 1,1"
10-JUN-22,08:33 :24,"DCS SSO Fence Open 1,1"
10-JUN-22,08:33 :16,"DCS SSO Fence Open 1,1"
10-JUN-22,08:33 :12,"DCS SSO Fence Open 1,1"
10-JUN-22,08:33 :06,"DCS SSO Fence Open 1,1"
10-JUN-22,08:27 :42,"DCS SSO Fence Open 1,1"
10-JUN-22,08:27 :42,Controlled Stop
10-JUN-22,08:24 :38,'All' is selected
10-JUN-22,08:24 :36,F1([ TYPE ]) is pressed
10-JUN-22,08:24 :34,Menu changed 'Select'
10-JUN-22,08:24 :34,SELECT is pressed
