Date,Time,Facility,Error
22-JUN-22,10:26:22,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:26:22,SYST-179,SHIFT-RESET Released
22-JUN-22,10:26:22,SYST-178,SHIFT-RESET Pressed
22-JUN-22,10:26:20,SYST-038,Operation mode T1 Selected
22-JUN-22,10:26:20,SRVO-003,Deadman switch released
22-JUN-22,10:26:20,SYST-042,DEADMAN defeated
22-JUN-22,10:26:20,SYST-045,TP enabled in AUTO mode
22-JUN-22,10:26:20,PROG-046,TP is enabled while running (STYLE012)
22-JUN-22,10:26:00,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:26:00,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:26:00,SYST-014,Program select failed
22-JUN-22,10:26:00,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:25:58,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:25:58,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:25:58,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:25:58,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:25:58,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:25:58,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:25:58,SRVO-021,SRDY off (Group:1 Axis:7)
22-JUN-22,10:25:58,SRVO-021,SRDY off (Group:1 Axis:6)
22-JUN-22,10:25:58,SRVO-021,SRDY off (Group:1 Axis:5)
22-JUN-22,10:25:58,SRVO-021,SRDY off (Group:1 Axis:4)
22-JUN-22,10:25:58,SRVO-021,SRDY off (Group:1 Axis:3)
22-JUN-22,10:25:58,SRVO-021,SRDY off (Group:1 Axis:2)
22-JUN-22,10:25:58,SRVO-021,SRDY off (Group:1 Axis:1)
22-JUN-22,10:25:58,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:25:58,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:25:58,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:25:58,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:25:58,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:25:56,PRIO-063,Bad I/O asg: rack 89 slot 1
22-JUN-22,10:25:56,PRIO-063,Bad I/O asg: rack 89 slot 1
23-JUN-22,14:37:42,SEAL-349,Proc logger process_id not found (E2)
